	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
sp|Q80SX5|OTOP2_MOUSE^sp|Q80SX5|OTOP2_MOUSE^Q:550-1002	2.723	5.259	2.321	6.888	4.1573	3.991	4.2675
sp|Q80T11|USH1G_MOUSE^sp|Q80T11|USH1G_MOUSE^Q:4-273	2.678	0.0	0.656	0.6657	1.395	0.6147	0.0
sp|Q9Y6N9|USH1C_HUMAN^sp|Q9Y6N9|USH1C_HUMAN^Q:167-1030	0.539	0.817	2.6387	0.5967	0.9547	0.9137	0.6905
sp|Q9Y6N9|USH1C_HUMAN^sp|Q9Y6N9|USH1C_HUMAN^Q:67-564	1.636	0.684	3.557	0.861	1.004	0.9003	0.181
sp|Q8WXG9|GPR98_HUMAN^sp|Q8WXG9|GPR98_HUMAN^Q:5-454	0.4165	0.16	0.4507	0.0	0.0	1.129	0.0
sp|Q80VW5|WHRN_MOUSE^sp|Q80VW5|WHRN_MOUSE^Q:841-1119	1.4105	0.7915	0.7143	0.915	0.995	0.6477	1.487
sp|O75838|CIB2_HUMAN^sp|O75838|CIB2_HUMAN^Q:611-1162	18.766	10.645	31.0353	19.9143	5.8097	10.2727	23.9465
sp|Q9H251|CAD23_HUMAN^sp|Q9H251|CAD23_HUMAN^Q:424-2082	0.2095	1.719	0.9997	0.6477	1.6723	0.4797	0.493
sp|Q9H251|CAD23_HUMAN^sp|Q9H251|CAD23_HUMAN^Q:242-1900	1.502	0.8415	1.0333	1.1007	2.8493	1.223	1.075
sp|Q8BTY2|S4A7_MOUSE^sp|Q8BTY2|S4A7_MOUSE^Q:481-1323	0.8065	1.45	1.4723	0.4463	0.912	1.087	0.4355
sp|Q13402|MYO7A_HUMAN^sp|Q13402|MYO7A_HUMAN^Q:2893-4815	4.7325	5.057	4.0467	5.2317	5.7547	3.3273	3.2485
sp|Q2QI47|USH2A_MOUSE^sp|Q2QI47|USH2A_MOUSE^Q:1024-1695	4.5805	2.177	1.2453	1.0647	1.6923	2.1033	5.294
sp|Q8WXG9|GPR98_HUMAN^sp|Q8WXG9|GPR98_HUMAN^Q:30-419	1.6055	1.702	1.9233	0.459	0.717	0.5687	0.2925
sp|Q9Z309|CIB2_MOUSE^sp|Q9Z309|CIB2_MOUSE^Q:87-641	11.4485	12.138	9.434	3.2487	5.051	6.4997	1.908
sp|O95905|ECD_HUMAN^sp|O95905|ECD_HUMAN^Q:10-1860	9.384	5.3835	4.4123	6.5523	5.768	3.2803	6.1515
sp|Q2QI47|USH2A_MOUSE^sp|Q2QI47|USH2A_MOUSE^Q:21-11375	1.316	1.8385	1.483	0.7433	1.4773	1.266	0.8745
sp|O75445|USH2A_HUMAN^sp|O75445|USH2A_HUMAN^Q:118-1122	0.3725	0.6445	0.406	0.171	0.646	0.3113	0.518
sp|Q9H251|CAD23_HUMAN^sp|Q9H251|CAD23_HUMAN^Q:145-7719	0.449	1.2795	1.284	0.42	0.793	0.593	0.493
sp|Q8R1F6|HID1_MOUSE^sp|Q8R1F6|HID1_MOUSE^Q:7-312	8.886	13.0745	0.0	10.953	5.9303	0.846	0.6655
sp|Q8WXG9|GPR98_HUMAN^sp|Q8WXG9|GPR98_HUMAN^Q:4-864	1.173	0.0835	0.593	0.1353	0.3	0.0	0.39
sp|O75445|USH2A_HUMAN^sp|O75445|USH2A_HUMAN^Q:10-1359	0.6425	0.53	0.6237	0.0863	0.262	0.251	0.2695
sp|Q80T11|USH1G_MOUSE^sp|Q80T11|USH1G_MOUSE^Q:2-304	2.64	2.464	3.9763	2.3447	3.09	2.164	1.3125
sp|Q9P202|WHRN_HUMAN^sp|Q9P202|WHRN_HUMAN^Q:876-1904	3.352	3.141	3.173	2.6233	2.8803	2.0773	2.309
