	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
sp|P51610|HCFC1_HUMAN^sp|P51610|HCFC1_HUMAN^Q:1-744	1.6875	6.9865	3.6137	2.847	4.0607	3.5973	2.367
sp|Q8IUQ4|SIAH1_HUMAN^sp|Q8IUQ4|SIAH1_HUMAN^Q:619-1350	12.5995	15.3925	8.3017	8.73	9.7847	7.3547	6.7175
sp|Q17237|SGF3_BOMMO^sp|Q17237|SGF3_BOMMO^Q:604-1176	0.155	0.0	0.4017	0.588	4.039	1.0963	1.562
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:7-246	0.2065	0.623	0.0707	0.0	0.0	0.0	0.0
sp|P62516|PO3F4_RAT^sp|P62516|PO3F4_RAT^Q:774-1208	5.1555	5.7355	3.807	5.4217	5.4047	4.54	3.108
sp|Q90435|PO4F3_DANRE^sp|Q90435|PO4F3_DANRE^Q:780-1265	8.6125	17.163	6.3227	6.8087	8.458	6.2953	6.171
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:828-1019	5.7045	6.816	5.4437	6.36	3.9133	1.56	0.705
sp|Q8WN22|PRKDC_CANLF^sp|Q8WN22|PRKDC_CANLF^Q:127-438	1.256	0.7645	0.521	0.576	0.3443	1.1377	0.39
sp|Q9QZR5|HIPK2_MOUSE^sp|Q9QZR5|HIPK2_MOUSE^Q:349-927	1.844	4.363	2.7257	1.3203	2.637	2.0113	1.555
sp|P48432|SOX2_MOUSE^sp|P48432|SOX2_MOUSE^Q:290-586	3.5305	3.2165	0.0857	1.5123	0.9877	0.3187	0.207
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:781-1065	5.2785	5.891	3.0217	3.17	4.587	0.895	4.738
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:694-978	0.7295	3.1415	6.5937	5.0743	6.1793	11.2473	6.062
sp|Q91VJ5|PQBP1_MOUSE^sp|Q91VJ5|PQBP1_MOUSE^Q:298-1023	14.836	17.8055	13.7497	23.881	19.8033	7.693	19.577
sp|P21709|EPHA1_HUMAN^sp|P21709|EPHA1_HUMAN^Q:1-1017	0.0	0.0035	0.0	0.0	0.0	0.2057	0.0
sp|Q91905|FXI1B_XENLA^sp|Q91905|FXI1B_XENLA^Q:1022-1420	1.455	1.3175	0.6493	2.669	2.3077	3.4323	5.48
sp|Q9YGL7|PIT1_CHICK^sp|Q9YGL7|PIT1_CHICK^Q:527-1105	0.0235	0.0	0.0437	1.507	1.292	0.2007	0.449
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:594-857	2.7295	11.0265	5.413	3.1913	4.9463	1.455	1.244
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:534-803	1.0085	6.27	3.5503	4.0583	3.748	1.0803	0.9285
sp|A4GTP4|ELK1_RAT^sp|A4GTP4|ELK1_RAT^Q:403-672	1.2475	7.81	0.8983	1.9733	4.221	0.9697	0.562
sp|P04757|ACHA3_RAT^sp|P04757|ACHA3_RAT^Q:217-1476	0.955	2.0695	0.733	0.5673	1.6523	0.6747	1.267
sp|P51610|HCFC1_HUMAN^sp|P51610|HCFC1_HUMAN^Q:16-663	1.3665	6.0055	4.168	2.9903	3.5457	2.3263	1.525
sp|Q9GZV8|PRD14_HUMAN^sp|Q9GZV8|PRD14_HUMAN^Q:986-1354	0.332	0.3625	0.477	0.2143	0.5217	0.1583	0.1815
sp|B7ZQJ9|GT2D1_XENLA^sp|B7ZQJ9|GT2D1_XENLA^Q:264-674	11.9935	6.302	2.713	5.2333	3.4737	14.8307	2.165
sp|Q9H2X6|HIPK2_HUMAN^sp|Q9H2X6|HIPK2_HUMAN^Q:346-921	0.0	0.0	0.0	0.0	0.0	0.453	0.0
